time,robot_x,robot_y,robot_z,yaw,mode,obstacle_type,obstacle_x,obstacle_y,obstacle_z,obstacle_sx,obstacle_sy,obstacle_sz,target_x,target_y,target_z
0.512,0.2557049003272593,11.145110169528847,0.9346459583364354,-1.5943880535914567,GO,barrel,0.379553,0.0437297,0.76,0.0,0.0,0.0,0.0,-9.2393,0.710646
1.024,0.252669766338227,11.020098577272682,0.4160721325613997,-1.6007564496528959,GO,barrel,0.379553,0.0437297,0.76,0.0,0.0,0.0,0.0,-9.2393,0.710646
1.536,0.24530057087167367,10.771962081241458,0.5942664031538059,-1.6171272427911498,GO,barrel,0.379553,0.0437297,0.76,0.0,0.0,0.0,0.0,-9.2393,0.710646
2.048,0.2330505176423861,10.444224775666065,0.7165083495456216,-1.6184313814095257,GO,barrel,0.379553,0.0437297,0.76,0.0,0.0,0.0,0.0,-9.2393,0.710646
2.56,0.21710773084733279,10.061875895071637,0.5962669674443214,-1.6142056853917657,GO,barrel,0.379553,0.0437297,0.76,0.0,0.0,0.0,0.0,-9.2393,0.710646
3.072,0.19932901578855,9.645512312746382,0.49949248542143243,-1.6100076691139222,GO,barrel,0.379553,0.0437297,0.76,0.0,0.0,0.0,0.0,-9.2393,0.710646
3.584,0.1812334633913471,9.207459243521345,0.5625192075620166,-1.605770812853408,GO,barrel,0.379553,0.0437297,0.76,0.0,0.0,0.0,0.0,-9.2393,0.710646
4.096,0.16372869813022603,8.753672694915137,0.6250515156603625,-1.6004509169213006,GO,barrel,0.379553,0.0437297,0.76,0.0,0.0,0.0,0.0,-9.2393,0.710646
4.6080000000000005,0.14730824158460368,8.287539566123446,0.5880589032316841,-1.595953646388489,GO,barrel,0.379553,0.0437297,0.76,0.0,0.0,0.0,0.0,-9.2393,0.710646
5.12,0.13223294144284153,7.813343315294303,0.5440585003721807,-1.593994654464176,GO,barrel,0.379553,0.0437297,0.76,0.0,0.0,0.0,0.0,-9.2393,0.710646
5.632,0.11846002059761354,7.334088673874069,0.5727680375640777,-1.5933887060055278,GO,barrel,0.379553,0.0437297,0.76,0.0,0.0,0.0,0.0,-9.2393,0.710646
6.144,0.10570963850171837,6.850330821188637,0.5935150552572772,-1.5922735174185891,GO,barrel,0.379553,0.0437297,0.76,0.0,0.0,0.0,0.0,-9.2393,0.710646
6.656000000000001,0.09369503394910728,6.363088265807065,0.5729890823272412,-1.5919024860585518,GO,barrel,0.379553,0.0437297,0.76,0.0,0.0,0.0,0.0,-9.2393,0.710646
7.168,0.08214238634365799,5.873796125011572,0.5661568868426108,-1.5932446653670218,GO,barrel,0.379553,0.0437297,0.76,0.0,0.0,0.0,0.0,-9.2393,0.710646
